id,genre,track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,sqenergy
5vfhsKmvC0QxbAWbn4AhPZ,breakbeat,The Rockafeller Skank,Fatboy Slim,0.0007,0.58,236893,0.984,0.11,7,0.448,-5.551,1,0.295,152.523,4,0.171,0.968256
7qbCY2WYtIKjcTLAOtqliw,breakbeat,Song For Lovers,Bachelors of Science,0.00375,0.505,388000,0.858,0.636,0,0.0584,-4.504,1,0.0351,87.492,4,0.0545,0.7361639999999999
5AMxVSn63Yi3UCO2njlvvW,breakbeat,End Credits,Chase & Status,0.0105,0.327,198438,0.813,0.0139,1,0.101,-4.769,0,0.0335,116.73,3,0.0678,0.6609689999999999
2DBPnhDQcmB73ZRSf3fPY8,breakbeat,Black Haze - Aquasky Mix,Agent K,9.9e-05,0.574,198493,0.871,0.492,7,0.173,-8.271,1,0.032,136.029,4,0.426,0.758641
3F9kV8MiHSbtqo4Srkhw8n,breakbeat,I Sit On Acid - Original; 2002 Remastered Version,Lords Of Acid,4.01e-06,0.605,345640,0.959,0.83,3,0.107,-5.322,0,0.0349,119.37,4,0.536,0.919681
746KcHdT2vDEZQ5abSo2zL,breakbeat,Substance Abuse,F.U.S.E.,0.0041,0.683,309400,0.923,0.907,2,0.115,-11.917,1,0.0697,125.929,4,0.225,0.851929
7E89BPSPTtBaR9mKK88WhD,breakbeat,Three Little Birdies Down Beats,The Chemical Brothers,0.00212,0.67,338733,0.788,0.896,7,0.264,-7.995,0,0.0389,121.91,4,0.424,0.620944
19WGviHv5DKhvoqqJmrKRO,breakbeat,Kiss Kiss Bang Bang,High Contrast,0.00019,0.521,343040,0.895,0.633,5,0.152,-4.967,0,0.0394,173.001,4,0.318,0.801025
3YL3EgJB3zzUEZJGgVOpCq,breakbeat,Intersection,Technimatic,8.48e-05,0.469,308966,0.886,0.479,6,0.218,-4.134,1,0.0608,174.012,4,0.705,0.784996
3kNIXrf4wOLxBh40tA5NtN,british,Do You Really Want To Hurt Me - Remastered 2002,Culture Club,0.0563,0.731,263493,0.594,0.0,4,0.13,-6.285,0,0.0345,100.676,4,0.336,0.352836
1RUFzNaQ40JLJlpW1BVTnF,british,Under the Stars,Morning Parade,0.000452,0.469,254681,0.863,0.000433,1,0.288,-6.859,0,0.0682,132.03,4,0.0687,0.744769
14rApQTKycs9gNg7hjm9m7,british,White Blank Page,Mumford & Sons,0.212,0.324,253107,0.398,3e-05,6,0.692,-9.811,0,0.0352,113.165,4,0.299,0.15840400000000002
303SXchvzZh2pCQBsjMmcR,british,Rehab,Various Artists,0.042,0.576,213280,0.852,2.57e-06,0,0.434,-3.808,1,0.0529,145.529,4,0.747,0.725904
06jp5Ww9PGIOGDZoA30wxj,british,Pretty Flamingo - 2007 Remastered Version,Manfred Mann,0.0654,0.546,149680,0.595,0.0,7,0.81,-8.159,1,0.0272,113.511,4,0.858,0.354025
61ubI9pEllilZGV9KcTry9,british,Lightning,The Wanted,0.00206,0.611,203760,0.896,0.000611,3,0.108,-4.217,1,0.0411,134.931,4,0.315,0.8028160000000001
77GZxme1GMNbbooEH8nHNX,british,Post Break-Up Sex,The Vaccines,7.32e-05,0.402,174453,0.902,0.00465,5,0.261,-4.115,1,0.0469,136.883,4,0.569,0.813604
78zoGOrE0MXpQtAnbpBdwP,british,Bad to Me,Various Artists,0.673,0.648,141173,0.58,0.0,2,0.0975,-7.744,1,0.051,127.072,4,0.789,0.3364
2QhURnm7mQDxBb5jWkbDug,british,Don't Panic,Coldplay,0.206,0.602,136867,0.612,0.00607,0,0.107,-8.409,1,0.0335,122.062,4,0.453,0.374544
